CVE;Commit;Parent;File;Modified Lines
CVE-2004-1073;1fb844961818;c20086de9319ac406f1e96ad459763c9f9965b18;fs/binfmt_elf.c;685-685
CVE-2004-1073;1fb844961818;c20086de9319ac406f1e96ad459763c9f9965b18;fs/binfmt_elf_fdpic.c;237-237
CVE-2005-2709;330d57fb98a9;8546df6f357dadf1989ad8da9309c9524fd56cdf;arch/s390/appldata/appldata_base.c;595-600
CVE-2005-2709;330d57fb98a9;8546df6f357dadf1989ad8da9309c9524fd56cdf;include/linux/proc_fs.h;69-69
CVE-2005-2709;330d57fb98a9;8546df6f357dadf1989ad8da9309c9524fd56cdf;include/linux/sysctl.h;27-27
CVE-2005-2709;330d57fb98a9;8546df6f357dadf1989ad8da9309c9524fd56cdf;include/linux/sysctl.h;928-928
CVE-2005-2709;330d57fb98a9;8546df6f357dadf1989ad8da9309c9524fd56cdf;kernel/sysctl.c;172-172
CVE-2005-2709;330d57fb98a9;8546df6f357dadf1989ad8da9309c9524fd56cdf;kernel/sysctl.c;995-995
CVE-2005-2709;330d57fb98a9;8546df6f357dadf1989ad8da9309c9524fd56cdf;kernel/sysctl.c;998-998
CVE-2005-2709;330d57fb98a9;8546df6f357dadf1989ad8da9309c9524fd56cdf;kernel/sysctl.c;1007-1007
CVE-2005-2709;330d57fb98a9;8546df6f357dadf1989ad8da9309c9524fd56cdf;kernel/sysctl.c;1015-1015
CVE-2005-2709;330d57fb98a9;8546df6f357dadf1989ad8da9309c9524fd56cdf;kernel/sysctl.c;1020-1020
CVE-2005-2709;330d57fb98a9;8546df6f357dadf1989ad8da9309c9524fd56cdf;kernel/sysctl.c;1024-1028
CVE-2005-2709;330d57fb98a9;8546df6f357dadf1989ad8da9309c9524fd56cdf;kernel/sysctl.c;1239-1239
CVE-2005-2709;330d57fb98a9;8546df6f357dadf1989ad8da9309c9524fd56cdf;kernel/sysctl.c;1243-1244
CVE-2005-2709;330d57fb98a9;8546df6f357dadf1989ad8da9309c9524fd56cdf;kernel/sysctl.c;1258-1258
CVE-2005-2709;330d57fb98a9;8546df6f357dadf1989ad8da9309c9524fd56cdf;kernel/sysctl.c;1262-1262
CVE-2005-2709;330d57fb98a9;8546df6f357dadf1989ad8da9309c9524fd56cdf;kernel/sysctl.c;1272-1272
CVE-2005-2709;330d57fb98a9;8546df6f357dadf1989ad8da9309c9524fd56cdf;kernel/sysctl.c;1308-1308
CVE-2005-2709;330d57fb98a9;8546df6f357dadf1989ad8da9309c9524fd56cdf;kernel/sysctl.c;1314-1314
CVE-2005-2709;330d57fb98a9;8546df6f357dadf1989ad8da9309c9524fd56cdf;kernel/sysctl.c;1339-1339
CVE-2005-2709;330d57fb98a9;8546df6f357dadf1989ad8da9309c9524fd56cdf;kernel/sysctl.c;1352-1372
CVE-2005-3358;8f493d797bc1;abe842eb98c45e2b77c5868ef106616ca828a3e4;mm/mempolicy.c;164-164
CVE-2006-0039;2c8ac66bb2ff;a467704dcb4fa45da48079486f1b0e6baffb12d2;net/ipv4/netfilter/arp_tables.c;951-951
CVE-2006-0039;2c8ac66bb2ff;a467704dcb4fa45da48079486f1b0e6baffb12d2;net/ipv6/netfilter/ip6_tables.c;1106-1106
CVE-2006-1056;18bd057b1408;5dc5cf7dd2723430b6df3d91c5b22af49e063622;arch/i386/kernel/cpu/amd.c;210-210
CVE-2006-1056;18bd057b1408;5dc5cf7dd2723430b6df3d91c5b22af49e063622;arch/x86_64/kernel/process.c;578-579
CVE-2006-1056;18bd057b1408;5dc5cf7dd2723430b6df3d91c5b22af49e063622;arch/x86_64/kernel/setup.c;933-933
